user_id,item_id,rating,timestamp
1,18,4,1513036800
1,14,3,1486425600
1,21,5,1492556400
1,10,5,1509926400
1,7,4,1511136000
1,19,5,1479600000
1,2,5,1481328000
1,9,5,1510358400
1,12,5,1510790400
1,16,5,1492556400
1,3,4,1510358400
1,15,5,1509231600
1,4,4,1493506800
1,13,5,1479600000
1,5,4,1512691200
1,11,4,1510185600
1,8,3,1492556400
1,20,5,1510185600
1,6,4,1510358400
1,17,4,1510358400
1,1,5,1493506800
2,31,5,1495753200
2,37,5,1480982400
2,42,5,1510012800
2,36,5,1474239600
2,32,5,1492988400
2,33,5,1466550000
2,35,5,1504047600
2,23,5,1474239600
2,38,5,1498431600
2,27,5,1476486000
2,43,4,1485820800
2,25,4,1498431600
2,41,5,1474930800
2,26,5,1476486000
2,24,5,1489104000
2,29,5,1489104000
2,40,5,1507762800
2,30,5,1487203200
2,39,5,1507417200
2,22,5,1506553200
2,34,5,1497740400
2,28,4,1422144000
3,63,5,1513209600
3,57,4,1508281200
3,53,3,1462921200
3,47,5,1513209600
3,65,5,1459292400
3,60,5,1453852800
3,64,5,1467846000
3,55,5,1457049600
3,44,4,1437346800
3,46,4,1469833200
3,51,5,1475362800
3,49,5,1468191600
3,58,4,1498431600
3,54,5,1454803200
3,59,4,1493334000
3,45,4,1468278000
3,52,5,1491346800
3,61,2,1453161600
3,62,4,1453680000
3,50,4,1464822000
3,56,4,1436914800
3,48,5,1492383600
4,71,5,1495407600
4,76,4,1496617200
4,85,4,1501628400
4,72,4,1490310000
4,68,4,1490137200
4,86,4,1498518000
4,81,4,1509404400
4,82,5,1457049600
4,73,5,1486425600
4,96,5,1495407600
4,78,3,1501628400
4,67,5,1500850800
4,91,4,1489359600
4,69,4,1496617200
4,79,4,1510099200
4,66,3,1506553200
4,70,4,1485993600
4,94,3,1512950400
4,83,5,1495407600
4,88,4,1489359600
4,92,5,1507849200
4,84,4,1512950400
4,77,5,1490137200
4,95,5,1490137200
4,89,4,1512950400
4,74,5,1506553200
4,80,4,1507849200
4,90,3,1513209600
4,75,5,1513209600
4,93,5,1500850800
4,87,5,1505775600
5,115,5,1505516400
5,118,5,1497481200
5,99,5,1498172400
